Product Name,Price,Ratings,URL
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN","57,990",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTc5MTMwNTkwODU5NTY5OjE3NTI0MTg0NDE6c3BfbXRmOjMwMDU2OTY0NzM5NTYzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Backlit-83K100CGIN%2Fdp%2FB0F637DPFW%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1752418441%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB
"Lenovo Smartchoice Yoga Slim 7 Intel Core Ultra 5 125H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (16GB/512GB SSD/60Hz/100% DCI-P3/Win11/MSO 21/1Yr ADP Free/Alexa/Grey/1.39Kg), 83CV003MIN","74,990",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTc5MTMwNTkwODU5NTY5OjE3NTI0MTg0NDE6c3BfbXRmOjMwMDU3ODI3NDk0NTIzMjo6MDo6&url=%2FLenovo-Built-WUXGA-OLED-400Nits-83CV003MIN%2Fdp%2FB0D9VLF328%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1752418441%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB
"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS","33,990",,https://www.amazon.in/ASUS-Vivobook-i3-1315U-Integrated-X1504VA-NJ320WS/dp/B0CYTD8DVF/ref=sr_1_13?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-13
"HP Professional 15, 12th Gen Intel Core Celeron-N4500 Turbo Boost, 8GB DDR4, 256GB SSD, (Win 11 Pro, MSO 21Pro, Gray, 1.59kg), 15.6 inch, UHD Graphics, Numeric KB, Business Laptop","22,510",,https://www.amazon.in/HP-Professional-Celeron-N4500-Graphics-Business/dp/B0FCD9LKLZ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-14
"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop","28,490",,https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_15?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-15
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg","33,990",,https://www.amazon.in/Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-16
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight","77,990",,https://www.amazon.in/2022-Apple-MacBook-Laptop-chip/dp/B0DLHFM2XL/ref=sr_1_17?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-17
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm, FHD, Win 11, MSO 21, Silver, 1.59kg, Intel UHD Graphics, 1080p FHD Camera, 15-fd0006TU/fd0186tu","33,990",,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-Graphics/dp/B0D2KDCWJL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-18
"ASUS Vivobook 16X 12th Gen, Intel Core i5-12500H Creator/Gaming Laptop(NVIDIA RTX 2050-4GB/16GB/512GB/FHD+/16.0""/144Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Silver/1.67 kg) K3605ZF-RP458WS","56,990",,https://www.amazon.in/ASUS-Vivobook-i5-12500H-2050-4GB-K3605ZF-RP458WS/dp/B0DS2DQD9L/ref=sr_1_19?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-19
"Lenovo Ideapad 1 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/Windows 11/Office Home 2024/15.6 Inch (39.6Cm)/FHD IPS Display/3Months Game Pass/Grey/1.6Kg), 82R4011CIN/0DIN Laptop","36,990",,https://www.amazon.in/Lenovo-Ideapad-Windows-Display-82R4011CIN/dp/B0DT3SBQM7/ref=sr_1_20?dib=eyJ2IjoiMSJ9.FCuxQIpCeN8C_jYQ8ONa2iE2nQPyychucW5Nm1xdkrMPVXitxWQVk6rVLEPFMwVlng0KvaWmd4FSPeG7rgcZV7SEwyoE4-RTv1ypa6M5BI4hULUsl9wyfMh19dqsx1FHou20q4p2asymT9mWTcVpxnZFD1MJuj_b6L4ccOlXMNSgLPDO1curp21l8esO--XgA9SPMuiC59QSfU73Lhjk7TBumKUy43mjmnY71BqJEEY.eVSU6lMyM7vT_2U8cYZVNYkwaZMbAg37iOK2p6gyl5M&dib_tag=se&keywords=laptop&qid=1752418441&sr=8-20
